Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21
2014-06-30,21,5.2,15.2,0.0,4.0,8.5,WSW,WSW,13.0,28.0,66.0,39.0,1021.6,1020.9,1.0,4.0,8.9,13.1,No,No
2014-07-06,21,0.8,14.8,0.0,,,WSW,SW,11.0,30.0,69.0,35.0,1020.4,1016.4,4.0,1.0,7.4,14.0,No,No
2014-07-13,21,1.4,17.1,0.0,9.4,9.9,SSW,SE,20.0,24.0,60.0,22.0,1025.9,1024.2,1.0,2.0,8.2,16.8,No,No
2014-07-14,21,2.7,20.2,0.0,3.2,8.9,ESE,SE,15.0,6.0,54.0,33.0,1029.9,1025.7,1.0,7.0,10.2,19.7,No,No
2014-07-20,21,0.0,17.1,0.0,,,SSE,WSW,6.0,22.0,65.0,38.0,1024.2,1022.2,,,7.1,16.8,No,No
2014-07-21,21,2.7,20.5,0.0,,9.0,ENE,ENE,17.0,7.0,65.0,40.0,1024.4,1020.3,,4.0,12.7,19.3,No,No
2014-07-29,21,2.5,21.0,0.0,3.4,10.5,ENE,WSW,11.0,11.0,53.0,21.0,1024.7,1020.5,0.0,1.0,11.3,20.6,No,No
2014-07-30,21,3.5,22.6,0.0,3.6,10.4,ENE,WSW,11.0,13.0,47.0,18.0,1024.3,1020.1,0.0,0.0,11.9,22.0,No,No
2014-08-03,21,0.0,20.0,0.0,,10.4,E,ESE,17.0,11.0,43.0,25.0,1030.8,1027.2,,,10.3,19.7,No,No
2014-08-13,21,5.0,20.4,0.0,4.2,5.3,E,NE,17.0,7.0,48.0,31.0,1029.1,1026.4,6.0,7.0,13.7,19.8,No,No
2014-09-06,21,6.5,22.9,0.0,,,E,E,22.0,17.0,43.0,28.0,1025.6,1022.0,,8.0,16.2,21.7,No,No
2014-09-09,21,10.8,26.4,0.0,6.4,11.0,NNE,NNE,30.0,31.0,52.0,28.0,1021.6,1014.5,1.0,1.0,18.3,25.3,No,No
2014-09-10,21,16.1,25.4,0.0,7.8,10.5,NW,WSW,22.0,31.0,45.0,16.0,1014.0,1013.1,2.0,1.0,21.1,24.7,No,No
2014-09-11,21,5.6,25.3,0.0,8.2,,S,SW,30.0,26.0,36.0,18.0,1019.5,1016.7,0.0,0.0,18.3,24.0,No,No
2014-09-16,21,12.2,27.1,0.2,7.6,10.7,N,WNW,20.0,41.0,32.0,9.0,1013.7,1010.7,1.0,1.0,20.8,26.1,No,No
2014-09-27,21,8.0,24.4,0.0,,,SSW,SW,11.0,24.0,39.0,23.0,1019.9,1016.9,,,19.3,23.6,No,No
2014-10-06,21,14.2,32.3,0.0,7.2,11.7,NE,NNE,19.0,17.0,52.0,19.0,1018.8,1013.4,0.0,1.0,21.8,31.3,No,No
2014-10-08,21,12.4,28.4,0.0,10.8,11.3,SW,SSW,19.0,15.0,42.0,14.0,1016.1,1013.7,1.0,1.0,18.4,27.1,No,No
2014-10-15,21,6.8,22.3,0.0,8.2,10.0,WSW,SW,20.0,24.0,67.0,28.0,1017.8,1014.9,7.0,3.0,11.9,21.4,No,No
2014-11-25,21,21.6,30.6,0.0,13.2,2.0,S,SW,20.0,22.0,46.0,45.0,1014.1,1013.5,7.0,7.0,27.7,29.7,No,No
2014-12-07,21,19.4,33.5,,,,NNE,NNE,31.0,24.0,71.0,45.0,1006.1,1001.3,,,23.9,31.2,,Yes
2014-12-08,21,22.5,34.2,44.8,37.6,9.9,N,WSW,26.0,20.0,76.0,22.0,1008.4,1007.7,7.0,6.0,25.6,33.5,Yes,No
2014-12-10,21,22.0,37.4,0.0,8.4,13.4,NNE,N,17.0,6.0,59.0,25.0,1012.4,1007.9,1.0,2.0,26.4,35.5,No,Yes
2014-12-14,21,15.0,31.8,0.0,36.4,13.4,E,ESE,11.0,9.0,49.0,21.0,1011.9,1008.2,1.0,1.0,21.5,29.2,No,No
2014-12-29,21,17.6,33.1,3.0,0.4,9.9,W,SW,11.0,11.0,86.0,39.0,1010.1,1006.6,7.0,2.0,22.6,31.0,Yes,No
2014-12-31,21,15.9,37.2,0.0,16.4,13.7,ESE,SW,13.0,19.0,23.0,11.0,1010.7,1008.3,0.0,0.0,27.2,36.9,No,No
2015-01-19,21,16.7,35.8,0.0,50.4,11.2,NE,SE,6.0,6.0,29.0,13.0,1008.4,1005.6,2.0,7.0,24.7,34.5,No,No
2015-01-28,21,17.4,28.5,30.0,,9.3,ESE,ESE,17.0,11.0,68.0,48.0,1007.4,1005.6,7.0,5.0,21.6,27.0,Yes,No
2015-02-01,21,14.2,33.5,0.0,,,ENE,WSW,7.0,24.0,38.0,17.0,1007.1,1004.8,,,23.8,32.2,No,No
2015-02-25,21,20.9,35.6,0.0,11.8,11.1,NE,ESE,17.0,7.0,54.0,29.0,1012.7,1008.3,1.0,1.0,25.6,33.4,No,No
2015-02-27,21,20.4,33.5,0.0,,,NE,NNE,28.0,20.0,64.0,43.0,1007.7,1005.1,1.0,,23.8,31.3,No,No
2015-03-18,21,19.2,34.8,11.6,11.4,8.6,NNE,N,30.0,26.0,75.0,35.0,1011.2,1007.3,6.0,1.0,22.0,32.9,Yes,No
2015-03-22,21,18.9,30.5,12.8,31.0,10.1,E,E,15.0,15.0,75.0,51.0,1019.1,1015.5,6.0,3.0,22.5,29.3,Yes,No
2015-04-23,21,9.1,24.1,0.0,3.0,,SSW,SSW,7.0,15.0,74.0,47.0,1013.9,1009.9,1.0,1.0,15.7,23.4,No,No
2015-04-24,21,14.2,26.6,0.0,,,NNE,W,11.0,24.0,70.0,27.0,1010.9,1007.7,3.0,,18.9,26.1,No,No
2015-04-25,21,10.5,26.3,0.0,,,NNE,NW,13.0,31.0,52.0,24.0,1010.5,1007.5,,,19.0,25.4,No,No
2015-05-07,21,4.7,20.2,0.0,5.8,,S,SSW,13.0,33.0,54.0,31.0,1021.7,1018.7,0.0,0.0,13.2,19.8,No,No
2015-05-12,21,6.1,22.0,0.0,4.0,,NNW,SW,6.0,17.0,66.0,40.0,1020.4,1016.0,1.0,1.0,15.1,21.1,No,No
2015-05-31,21,13.2,20.5,0.0,6.2,1.5,SSE,SW,11.0,13.0,95.0,90.0,1017.4,1016.0,7.0,8.0,15.8,16.5,No,No
2015-06-08,21,6.4,23.0,0.0,3.0,9.6,ENE,N,19.0,11.0,69.0,33.0,1028.1,1024.4,3.0,7.0,14.4,22.5,No,No
2015-06-11,21,8.9,23.3,0.0,3.4,,E,ESE,15.0,22.0,59.0,35.0,1031.6,1029.1,1.0,5.0,16.6,23.1,No,No
2015-07-15,21,3.7,14.8,0.0,2.6,3.5,NNE,N,17.0,17.0,75.0,54.0,1020.3,1016.9,7.0,7.0,8.8,14.0,No,Yes
2015-07-19,21,3.2,17.5,0.4,5.4,10.3,ESE,SSE,15.0,9.0,72.0,43.0,1030.3,1027.2,0.0,1.0,10.4,17.3,No,No
2015-07-22,21,6.9,18.4,0.0,2.4,0.9,E,NE,20.0,20.0,76.0,63.0,1028.2,1024.7,7.0,8.0,12.2,17.2,No,Yes
2015-07-27,21,5.7,13.4,17.8,6.6,9.3,SSW,SSW,22.0,28.0,74.0,49.0,1029.0,1027.5,6.0,5.0,10.0,12.5,Yes,No
2015-07-31,21,4.1,20.6,0.0,,,NNE,NW,15.0,11.0,70.0,41.0,1024.9,1021.7,,,10.7,19.7,No,No
2015-08-02,21,7.2,24.5,0.0,9.2,10.2,NNE,N,22.0,22.0,64.0,39.0,1021.1,1016.7,3.0,3.0,15.0,24.1,No,No
2015-08-12,21,7.1,20.9,0.0,3.6,9.9,,W,0.0,41.0,53.0,20.0,1011.3,1009.6,6.0,1.0,14.6,19.3,No,No
2015-08-30,21,3.0,17.3,0.0,8.4,11.2,SSW,WSW,15.0,28.0,59.0,35.0,1021.1,1017.7,0.0,1.0,12.4,16.2,No,No
2015-08-31,21,2.0,18.1,0.0,4.8,10.7,WSW,WSW,13.0,20.0,76.0,39.0,1019.3,1015.7,1.0,1.0,9.6,17.5,No,No
2015-10-07,21,15.8,34.6,0.0,,,NE,SSE,20.0,13.0,27.0,12.0,1026.6,1023.1,,,23.4,33.3,No,No
2015-10-09,21,14.1,29.9,0.0,,,E,SE,26.0,19.0,50.0,28.0,1032.0,1027.1,,,20.8,29.4,No,No
2015-11-06,21,19.4,33.3,11.2,,,N,WSW,24.0,31.0,72.0,23.0,1011.1,1006.8,,,23.1,32.6,Yes,No
2015-11-15,21,15.7,30.1,12.4,,,E,S,24.0,13.0,64.0,33.0,1010.9,1008.4,,,22.6,29.0,Yes,No
2015-12-02,21,20.1,32.0,4.8,11.2,3.9,NE,N,22.0,17.0,82.0,47.0,1015.1,1012.9,7.0,7.0,22.2,30.0,Yes,No
2015-12-04,21,15.8,32.1,0.0,,,ENE,S,20.0,15.0,44.0,23.0,1022.3,1017.6,,,21.4,30.9,No,No
2015-12-23,21,21.2,31.8,1.8,9.6,8.2,NNE,ESE,30.0,26.0,57.0,48.0,1013.0,1008.9,3.0,6.0,25.5,29.5,Yes,No
2016-01-24,21,20.8,36.5,,,,E,SSE,20.0,13.0,56.0,24.0,1009.6,1006.3,,2.0,27.0,35.4,,Yes
2016-01-27,21,21.2,28.0,,,,NE,E,35.0,17.0,56.0,69.0,1013.2,1009.4,6.0,8.0,24.4,24.8,,Yes
2016-02-10,21,18.3,33.5,0.0,11.6,12.8,E,NNE,24.0,7.0,47.0,25.0,1014.9,1011.1,0.0,1.0,24.0,31.3,No,No
2016-02-15,21,21.0,40.6,0.0,12.6,10.0,NNE,W,17.0,15.0,28.0,12.0,1009.6,1006.4,1.0,2.0,29.1,38.9,No,No
2016-02-26,21,19.8,41.8,0.0,,,NE,S,17.0,17.0,44.0,13.0,1012.8,1008.8,,,27.9,40.4,No,No
2016-03-02,21,20.7,36.3,0.0,11.0,11.6,ENE,WNW,20.0,11.0,52.0,26.0,1020.3,1016.3,3.0,3.0,24.9,34.5,No,No
2016-03-03,21,23.0,36.0,0.0,8.2,,NNE,WNW,20.0,11.0,62.0,31.0,1020.4,1016.9,5.0,7.0,25.6,33.3,No,No
2016-03-06,21,20.6,34.5,0.0,,,E,ENE,20.0,13.0,52.0,25.0,1020.8,1017.1,,,23.8,32.0,No,No
2016-03-09,21,20.4,35.2,0.0,11.0,10.7,ENE,N,17.0,22.0,58.0,30.0,1021.3,1016.7,1.0,4.0,24.9,34.5,No,No
2016-04-06,21,17.3,33.2,0.0,,,NE,WNW,30.0,9.0,49.0,23.0,1020.2,1015.7,,,23.9,32.5,No,No
2016-04-12,21,12.2,29.3,0.0,2.6,11.2,SE,WNW,7.0,9.0,74.0,19.0,1019.6,1016.0,1.0,1.0,20.4,28.5,No,No
2016-04-13,21,15.4,29.8,0.0,5.4,10.4,E,S,17.0,11.0,56.0,28.0,1023.5,1020.0,1.0,2.0,22.4,29.3,No,No
2016-04-20,21,13.5,30.2,0.0,5.2,10.8,NE,NNW,24.0,9.0,57.0,23.0,1022.4,1018.4,1.0,2.0,22.2,29.3,No,No
2016-04-24,21,11.4,28.7,0.0,21.2,10.0,SE,S,22.0,24.0,47.0,28.0,1024.6,1020.8,1.0,2.0,20.3,28.4,No,No
2016-05-05,21,9.7,26.7,0.0,3.6,,NE,W,13.0,6.0,66.0,26.0,1021.4,1017.5,,,16.7,26.2,No,No
2016-05-07,21,12.9,28.5,0.0,,,NE,NE,24.0,13.0,64.0,33.0,1020.5,1016.5,,,20.5,28.2,No,No
2016-05-15,21,7.5,26.4,0.0,,,NNE,WNW,17.0,11.0,62.0,22.0,1022.1,1018.1,,,17.1,25.4,No,No
2016-05-22,21,13.3,27.2,0.0,,,ENE,ENE,17.0,15.0,58.0,34.0,1025.1,1020.5,,3.0,19.9,26.6,No,No
2016-06-04,21,14.8,16.7,22.7,,,NNW,WNW,30.0,22.0,92.0,80.0,1009.3,1008.2,8.0,8.0,16.0,15.8,Yes,Yes
2016-06-09,21,11.4,21.4,0.0,2.8,,NNE,SW,20.0,19.0,53.0,65.0,1014.8,1015.1,7.0,8.0,17.4,18.8,No,No
2016-06-28,21,3.1,13.0,0.6,1.0,,WSW,SSW,20.0,28.0,76.0,56.0,1026.1,1025.0,2.0,4.0,8.3,12.8,No,No
2016-07-05,21,9.7,15.1,4.0,2.8,,W,WNW,26.0,28.0,83.0,64.0,1015.0,1013.9,7.0,8.0,14.3,13.8,Yes,No
2016-07-17,21,8.1,23.4,0.0,,,ESE,SE,13.0,7.0,70.0,48.0,1027.4,1024.2,6.0,5.0,14.5,23.3,No,No
2016-07-20,21,15.2,25.2,0.0,2.8,,NNE,NNW,19.0,15.0,74.0,56.0,1021.9,1018.1,7.0,8.0,19.6,24.6,No,Yes
2016-07-30,21,0.2,16.2,0.0,,,NE,WSW,11.0,9.0,97.0,49.0,1023.4,1020.0,8.0,,3.8,15.2,No,No
2016-07-31,21,0.9,19.0,0.0,,,ENE,SW,11.0,20.0,80.0,39.0,1022.4,1019.1,,,8.4,17.8,No,No
2016-08-04,21,6.7,17.9,2.0,2.2,,,,,,79.0,53.0,1020.3,1020.1,,7.0,11.7,16.9,Yes,No
2016-08-16,21,6.7,22.0,0.0,4.4,,,,,,59.0,29.0,1032.0,1026.4,,,14.8,21.7,No,No
2016-09-01,21,15.5,23.0,7.2,2.4,,NE,ENE,17.0,19.0,91.0,71.0,1020.5,1014.4,8.0,8.0,16.8,21.7,Yes,No
2016-09-06,21,7.3,21.9,0.0,,,E,ESE,19.0,11.0,63.0,43.0,1030.3,1026.2,,1.0,15.8,21.1,No,No
2016-09-18,21,14.9,19.7,8.2,,,NNE,NNW,33.0,22.0,93.0,94.0,1012.8,1006.8,7.0,8.0,16.9,18.6,Yes,Yes
2016-09-21,21,12.2,22.3,9.0,,,NNE,,15.0,,89.0,61.0,1014.6,1010.5,8.0,3.0,14.6,21.8,Yes,No
2016-10-03,21,14.5,18.2,1.2,,,NNW,SW,15.0,22.0,84.0,88.0,1007.3,1007.7,7.0,8.0,16.0,13.8,Yes,Yes
2016-10-08,21,9.8,30.4,0.0,,,NE,W,15.0,26.0,64.0,25.0,1021.0,1016.4,,1.0,17.4,29.9,No,No
2016-10-09,21,12.3,31.2,0.0,,,ESE,S,20.0,7.0,57.0,28.0,1017.5,1014.7,,,21.0,30.2,No,No
2016-10-10,21,14.7,30.7,0.0,,,NNE,N,28.0,20.0,74.0,40.0,1016.1,1011.0,1.0,,18.6,29.6,No,No
2016-10-15,21,8.7,25.3,0.0,,,NE,ENE,15.0,9.0,61.0,28.0,1024.0,1019.7,,1.0,15.5,23.5,No,No
2016-10-25,21,7.5,26.4,0.0,,,ENE,NW,9.0,13.0,60.0,22.0,1020.0,1017.1,,,16.5,25.3,No,No
2016-11-02,21,8.1,27.1,0.0,,,,SW,0.0,17.0,38.0,23.0,1015.9,1014.0,,,18.6,26.3,No,No
2016-11-19,21,17.2,34.7,0.0,,,NNE,ESE,26.0,17.0,47.0,21.0,1018.2,1014.0,,,24.3,33.0,No,No
2016-11-22,21,17.3,34.3,0.0,,,NNE,ESE,19.0,13.0,40.0,15.0,1017.3,1012.0,,,24.0,33.7,No,No
2016-11-26,21,13.5,33.0,0.0,,,E,ESE,13.0,9.0,33.0,17.0,1015.2,1011.5,,,23.5,31.2,No,No
2016-12-05,21,26.9,42.9,0.0,,,NNE,NNW,30.0,20.0,56.0,15.0,1011.7,1007.3,4.0,1.0,29.9,41.2,No,No
2016-12-13,21,19.9,34.7,0.0,,,NNE,WNW,24.0,11.0,54.0,22.0,1020.5,1015.1,,,23.6,33.6,No,No
2016-12-14,21,20.9,37.3,0.0,,,NNE,N,30.0,19.0,50.0,14.0,1015.2,1009.9,,,25.5,35.8,No,No
2016-12-20,21,20.2,35.0,0.0,,,NNE,SSW,35.0,46.0,61.0,87.0,1012.6,1008.6,4.0,8.0,24.1,21.5,No,Yes
2016-12-21,21,18.4,38.4,27.2,,,NNE,WSW,20.0,22.0,71.0,21.0,1012.2,1008.9,,,25.4,37.6,Yes,No
2016-12-22,21,19.8,36.4,0.0,,,NE,ENE,20.0,9.0,53.0,24.0,1013.2,1009.9,,1.0,26.7,35.1,No,No
2016-12-24,21,18.8,32.8,0.2,,,ENE,ENE,20.0,15.0,64.0,36.0,1017.0,1012.8,1.0,1.0,24.0,30.1,No,No
2016-12-27,21,20.0,35.1,0.0,,,NNE,ENE,28.0,24.0,58.0,27.0,1015.5,1011.0,,,24.4,33.5,No,No
2017-01-04,21,20.1,35.8,0.0,,,E,SE,30.0,15.0,40.0,20.0,1015.1,1011.2,,,26.0,34.1,No,No
2017-01-05,21,19.9,35.3,0.0,,,E,SSE,22.0,20.0,48.0,23.0,1015.1,1010.1,,3.0,25.2,34.2,No,No
2017-01-21,21,23.7,35.8,6.4,,,SSW,SW,24.0,22.0,64.0,23.0,1006.6,1006.2,,,26.0,34.6,Yes,No
2017-01-31,21,24.1,39.7,0.0,,,NNE,N,26.0,11.0,50.0,21.0,1013.7,1010.2,,,28.0,38.3,No,No
2017-02-02,21,27.3,43.9,0.0,,,NNE,WSW,31.0,17.0,36.0,13.0,1010.9,1007.4,,,31.2,41.6,No,No
2017-02-09,21,22.5,38.0,0.0,,,ENE,SSW,20.0,13.0,50.0,21.0,1016.5,1011.6,,1.0,27.7,36.6,No,No
2017-02-13,21,20.7,36.0,0.0,,,SW,WSW,35.0,33.0,28.0,26.0,1004.2,1003.8,1.0,3.0,25.5,31.9,No,No
2017-03-02,21,21.2,32.5,0.0,,,E,NNW,17.0,13.0,60.0,36.0,1016.1,1011.9,7.0,8.0,24.0,31.0,No,No
2017-03-07,21,15.7,33.7,0.0,,,E,SSW,20.0,26.0,39.0,18.0,1014.3,1010.4,,,22.9,32.0,No,No
2017-03-10,21,12.9,31.2,0.0,,,SE,S,13.0,19.0,47.0,24.0,1013.4,1010.1,,,21.0,29.6,No,No
2017-03-17,21,21.7,34.4,0.0,,,NNW,SE,7.0,24.0,69.0,46.0,1013.6,1011.7,,8.0,24.5,28.7,No,No
2017-03-21,21,22.0,32.1,0.0,,,NE,NE,26.0,20.0,72.0,50.0,1015.2,1012.1,,8.0,25.2,30.7,No,No
2017-03-28,21,20.7,34.4,0.0,,,NE,N,22.0,11.0,71.0,39.0,1014.0,1010.6,,,23.6,33.0,No,No
2017-04-01,21,13.0,26.6,0.0,,,SSE,SE,13.0,11.0,67.0,36.0,1016.1,1014.0,,,18.3,25.4,No,No
2017-04-09,21,14.1,27.8,0.0,,,NNE,N,19.0,15.0,59.0,32.0,1018.5,1011.8,2.0,,20.4,27.5,No,No
2017-05-11,21,6.1,23.9,0.0,,,ENE,WSW,15.0,13.0,54.0,23.0,1023.4,1020.3,,,15.5,23.5,No,No
2017-05-16,21,5.0,22.4,0.0,,,NE,SSW,2.0,11.0,64.0,30.0,1020.0,1016.9,,,13.8,21.7,No,No
2017-05-17,21,6.5,25.1,0.0,,,E,NE,19.0,15.0,53.0,20.0,1021.8,1018.6,,,15.5,24.4,No,No
2017-06-06,21,1.9,17.3,0.0,,,WSW,SW,13.0,31.0,79.0,46.0,1024.1,1020.4,,,7.6,16.7,No,No
2008-12-08,24,,26.2,0.0,,,,NE,,22.0,,71.0,,,,7.0,,22.2,No,No
2008-12-26,24,19.2,29.4,0.0,,,NE,SE,4.0,11.0,87.0,63.0,,,6.0,1.0,21.8,29.0,No,No
2008-12-30,24,19.2,33.4,10.6,,,,NW,0.0,7.0,77.0,36.0,,,5.0,4.0,22.0,30.8,Yes,No
2009-01-08,24,21.2,23.8,0.0,,,SE,SE,11.0,15.0,74.0,77.0,,,8.0,8.0,22.4,21.6,No,Yes
2009-01-10,24,15.4,25.4,0.2,,,SE,N,7.0,28.0,58.0,45.0,,,7.0,5.0,21.6,24.4,No,No
2009-01-12,24,18.4,28.2,0.0,,,,SE,0.0,19.0,70.0,46.0,,,0.0,1.0,23.4,27.6,No,No
2009-01-25,24,18.8,24.0,2.4,,,SE,SE,11.0,22.0,65.0,65.0,,,8.0,8.0,21.4,23.2,Yes,No
2009-02-02,24,20.6,31.0,0.0,,,NE,NE,4.0,28.0,74.0,52.0,,,3.0,3.0,25.4,29.4,No,No
2009-02-19,24,19.0,30.0,0.0,,,,SE,0.0,11.0,91.0,61.0,,,7.0,5.0,21.0,27.6,No,Yes
2009-02-21,24,22.0,25.8,0.0,,,SE,SE,6.0,9.0,78.0,76.0,,,8.0,8.0,24.0,23.8,No,No
2009-03-03,24,20.2,28.0,0.0,,,NE,NE,4.0,11.0,69.0,62.0,,,5.0,3.0,23.6,27.6,No,No
2009-03-15,24,17.4,32.0,4.2,,,,NW,0.0,4.0,86.0,51.0,,,1.0,3.0,21.4,31.4,Yes,No
2009-03-19,24,14.4,29.0,0.0,,,,NE,0.0,6.0,88.0,63.0,,,0.0,1.0,18.4,27.0,No,No
2009-03-20,24,17.8,28.2,0.0,,,,SE,0.0,19.0,83.0,64.0,,,0.0,1.0,22.6,26.8,No,No
2009-03-21,24,18.8,26.6,0.0,,,SE,ESE,4.0,13.0,91.0,70.0,,,6.0,5.0,22.0,23.9,No,No
2009-04-03,24,20.0,27.0,0.0,,,,SE,0.0,7.0,81.0,76.0,,,5.0,6.0,22.8,25.4,No,No
2009-04-13,24,14.5,23.0,0.0,,,,,0.0,0.0,91.0,100.0,,,8.0,8.0,21.0,20.0,No,Yes
2009-05-02,24,9.7,22.8,0.0,,,,,0.0,0.0,81.0,56.0,,,1.0,7.0,15.8,20.5,No,Yes
2009-05-10,24,,18.8,0.0,,,,SE,0.0,28.0,75.0,60.0,,,6.0,6.0,15.8,17.6,No,Yes
2009-05-11,24,10.7,19.5,11.8,,,,SE,0.0,4.0,87.0,48.0,,,7.0,1.0,13.5,18.5,Yes,No
2009-05-19,24,14.5,19.7,2.6,,,,N,0.0,4.0,84.0,75.0,,,7.0,6.0,16.6,18.8,Yes,Yes
2009-05-23,24,14.2,22.6,32.7,,,SE,SE,28.0,13.0,72.0,72.0,,,5.0,6.0,20.4,20.1,Yes,No
2009-05-24,24,15.6,22.2,0.0,,,,SW,0.0,6.0,75.0,57.0,,,5.0,4.0,18.5,21.0,No,Yes
2009-05-28,24,11.8,19.8,0.0,,,SW,,2.0,0.0,84.0,95.0,,,1.0,7.0,16.0,17.0,No,Yes
2009-05-29,24,12.5,19.1,21.6,,,SE,SW,4.0,4.0,83.0,73.0,,,7.0,8.0,13.5,15.1,Yes,Yes
2009-06-13,24,5.0,18.0,0.0,,,,W,0.0,4.0,72.0,42.0,,,7.0,7.0,9.0,15.9,No,No
2009-06-14,24,6.8,20.0,0.0,,,,,0.0,,72.0,,,,7.0,,10.4,,No,No
2009-06-25,24,6.8,17.8,0.2,,,NW,W,4.0,19.0,64.0,53.0,,,4.0,3.0,11.5,16.7,No,No
2009-07-09,24,6.8,17.6,5.2,,,,SE,0.0,6.0,95.0,58.0,,,5.0,5.0,11.2,16.2,Yes,Yes
2009-07-11,24,5.5,17.3,0.0,,,,SE,0.0,2.0,93.0,55.0,,,4.0,7.0,9.5,16.0,No,No
2009-07-18,24,5.8,,0.0,,,NW,NW,4.0,6.0,83.0,50.0,,,1.0,2.0,11.4,17.0,No,No
2009-07-23,24,11.5,19.0,3.4,,,NW,,9.0,0.0,74.0,46.0,,,1.0,6.0,14.2,16.8,Yes,Yes
2009-07-26,24,7.5,13.8,0.0,,,,,0.0,0.0,87.0,81.0,,,8.0,8.0,9.4,12.8,No,Yes
2009-07-28,24,6.8,18.0,0.0,,,NW,NW,9.0,6.0,65.0,47.0,,,0.0,1.0,11.4,17.5,No,No
2009-08-02,24,4.2,18.4,0.0,,,N,NW,4.0,4.0,67.0,40.0,,,,0.0,12.0,17.5,No,No
2009-08-04,24,6.6,18.8,0.0,,,W,NW,2.0,15.0,83.0,42.0,,,6.0,6.0,9.5,18.2,No,No
2009-08-11,24,9.6,18.2,0.0,,,,NE,0.0,9.0,76.0,63.0,,,8.0,5.0,12.6,17.4,No,No
2009-08-22,24,14.2,20.5,0.0,,,,SE,0.0,6.0,70.0,57.0,,,8.0,1.0,16.3,18.5,No,No
2009-08-24,24,13.8,28.6,0.0,,,,NW,0.0,37.0,65.0,33.0,,,1.0,2.0,20.6,27.0,No,No
2009-08-25,24,15.2,21.2,0.0,,,NW,NW,37.0,37.0,26.0,23.0,,,3.0,2.0,19.0,20.5,No,No
2009-08-27,24,8.8,24.5,0.0,,,NW,NW,4.0,9.0,45.0,23.0,,,0.0,0.0,15.5,24.0,No,No
2009-09-02,24,7.2,20.2,0.0,,,,SE,0.0,15.0,75.0,55.0,,,0.0,0.0,13.6,19.2,No,No
2009-09-14,24,,,0.0,,,,,,,,,,,,,,,No,No
2009-09-27,24,9.2,19.4,0.0,,,NW,NW,74.0,56.0,29.0,17.0,,,2.0,1.0,14.5,18.5,No,No
2009-09-28,24,8.2,22.3,0.0,,,NW,NW,37.0,56.0,40.0,17.0,,,0.0,1.0,15.5,18.5,No,No
2009-10-03,24,15.2,17.5,4.4,,,SE,SE,19.0,2.0,94.0,94.0,,,8.0,8.0,16.5,14.5,Yes,Yes
2009-10-08,24,9.8,18.5,0.0,,,SE,SW,37.0,56.0,51.0,45.0,,,7.0,6.0,14.0,18.4,No,No
2009-10-13,24,12.7,26.0,4.4,,,NW,,15.0,,56.0,23.0,,,6.0,1.0,19.2,25.4,Yes,No
2009-10-19,24,8.9,23.7,0.0,,,NW,SE,2.0,9.0,67.0,54.0,,,1.0,1.0,16.8,22.0,No,No
2009-11-03,24,16.5,38.0,0.0,,,NE,,4.0,,89.0,,,,1.0,,19.5,,No,No
2009-11-07,24,17.5,23.5,2.6,,,SE,SE,4.0,6.0,67.0,66.0,,,8.0,8.0,21.6,22.8,Yes,Yes
2009-11-20,24,19.8,42.0,0.0,,,NW,NE,2.0,9.0,67.0,23.0,,,1.0,5.0,27.5,40.6,No,Yes
2009-11-28,24,18.5,39.5,0.0,,,,NW,0.0,6.0,71.0,,,,0.0,2.0,25.0,,No,No
2010-01-22,24,21.6,39.0,0.0,,,SE,NE,2.0,7.0,79.0,25.0,,,2.0,1.0,25.7,38.0,No,No
2010-02-24,24,20.8,25.2,0.0,,,SE,SE,4.0,6.0,59.0,55.0,,,8.0,8.0,22.1,24.5,No,No
2010-02-25,24,19.4,26.5,0.0,,,SE,SE,6.0,19.0,55.0,48.0,,,2.0,2.0,23.4,24.9,No,No
2010-03-09,24,18.0,31.2,0.0,,,NE,NW,4.0,9.0,57.0,31.0,,,0.0,1.0,22.2,30.5,No,No
2010-03-13,24,17.0,23.2,20.4,,,S,SE,11.0,4.0,68.0,59.0,,,7.0,7.0,20.8,22.1,Yes,Yes
2010-03-15,24,17.7,25.0,0.0,,,,SE,0.0,4.0,81.0,65.0,,,6.0,6.0,20.5,24.0,No,No
2010-03-21,24,16.4,34.5,0.0,,,N,NW,2.0,6.0,84.0,30.0,,,1.0,3.0,20.2,33.5,No,No
2010-04-10,24,13.5,28.6,0.0,,,N,NE,6.0,2.0,73.0,40.0,,,1.0,2.0,20.4,27.7,No,No
2010-04-20,24,15.6,26.3,0.4,,,,SE,0.0,6.0,84.0,63.0,,,2.0,4.0,21.8,24.5,No,No
2010-05-09,24,,,0.0,,,,,,,,,,,,,,,No,No
2010-05-12,24,8.0,19.8,0.0,,,SW,SW,4.0,4.0,38.0,27.0,,,0.0,1.0,14.5,18.2,No,No
2010-05-26,24,13.3,18.8,2.0,,,,,0.0,0.0,97.0,85.0,,,7.0,8.0,15.5,16.4,Yes,Yes
2010-05-29,24,13.2,17.4,7.0,,,,NW,0.0,6.0,97.0,86.0,,,8.0,8.0,14.8,16.5,Yes,Yes
